learning_path,module,sub_module,context,duration_in_minutes,user_feedback
"Data Modeller, Data Storyteller, Analytics Project Runner, Data Science Jump Starter, Full Path Finisher",Data Fundamentals,What is Data,"This presentation explores the fundamental question “What is data?”, providing definitions, examples and boundary cases. It begins by showing the wide variety of items that can qualify as data: quantities, numbers, facts, observations, measurements, graphs, texts, and even feelings, emphasizing that not all widely assumed definitions are universally true. The slides contrast everyday usage of the term with formal definitions. In technical and academic contexts, data refers to values of qualitative or quantitative variables associated with one or more objects or persons. A single value is a datum. The deck explains the distinction between data and information: data are raw symbols or values, while information emerges when data are interpreted or placed into context. The presentation also describes digital data—values represented using the binary system (0s and 1s), which is the basis of all modern computing. Through examples and prompts, learners are encouraged to reflect on what qualifies as data and how data is used in analytics and decision‑making. Overall, the module establishes a conceptual foundation for later topics in data engineering, data science and machine learning. The data fundamentals module is crucial for newcomers and people not familiar with data, analytics or AI",10,"[""4 learners, rating 5.0, Lucky Sinighan says ""This training so far from the topic (Data Fundamentals) was enticing, and throughout interactive, clear and engaging"", another user says ""Superb and well put together. I am enjoying every bit of the theories. Can't wait to get to the hands-on practical classes.""]"
"Data Modeller, Data Storyteller, Analytics Project Runner, Data Science Jump Starter, Full Path Finisher",Data Fundamentals,Features & Labels,"This module introduces features, labels, and the preparatory steps that make data usable for machine learning (ML). It highlights that computers only understand numbers; therefore, non‑numeric data must be transformed. The slides present different transformation techniques, including converting text into numerical representations by mapping each unique word to an ID or to a one‑hot encoded vector. One‑hot encoding is explained as a method for turning categorical values—e.g., High, Medium, Low income—into numerical vectors with a single “1” marking the category. The deck then illustrates the distinction between features (input variables) and labels (target outputs to be predicted), using examples such as the Boston Housing dataset, where variables like house size or crime rate act as features, and the predicted price serves as the label. The presentation also contrasts traditional computing, where explicit rules are programmed, with machine learning, where the model learns patterns from examples rather than predefined instructions. These concepts lay the groundwork for understanding model training and supervised learning. Overall, the module reinforces that correct feature engineering and label definition are essential for building reliable ML models.The data fundamentals module is crucial for newcomers and people not familiar with data, analytics or AI",32,"[""4 learners, rating 5.0, Lucky Sinighan says ""This training so far from the topic (Data Fundamentals) was enticing, and throughout interactive, clear and engaging"", another user says ""Superb and well put together. I am enjoying every bit of the theories. Can't wait to get to the hands-on practical classes.""]"
"Data Modeller, Data Storyteller, Analytics Project Runner, Data Science Jump Starter, Full Path Finisher",Data Fundamentals,Problems with Data,"This deck addresses the many practical issues encountered with real‑world datasets, emphasizing that data problems often determine the success or failure of analytics projects. The module highlights common challenges such as insufficient data, missing data, outliers, NaNs, class imbalance, and incorrect labels. Examples include skewed distributions of weight categories, cholesterol values containing extreme outliers, and imbalance in marital‑status classes. A thought‑provoking case mentions the NIH chest X‑ray dataset, estimated to contain up to 10% mislabelled images, demonstrating how labeling errors can significantly distort model performance. The slides encourage learners to think critically about the root causes of poor data quality, noting that many issues are not due to the data itself but how it is collected, annotated, or interpreted. The module positions data quality as a central factor in machine‑learning development, because noisy, incomplete or biased datasets reduce the reliability of predictions. By showing concrete examples of flawed datasets, the presentation stresses the need for data cleaning, validation, imputation and careful sampling. Overall, the deck frames data‑quality management as a foundational competency for analytics teams and data practitioners.The data fundamentals module is crucial for newcomers and people not familiar with data, analytics or AI",28,"[""4 learners, rating 5.0, Lucky Sinighan says ""This training so far from the topic (Data Fundamentals) was enticing, and throughout interactive, clear and engaging"", another user says ""Superb and well put together. I am enjoying every bit of the theories. Can't wait to get to the hands-on practical classes.""]"
"Data Modeller, Data Storyteller, Analytics Project Runner, Data Science Jump Starter, Full Path Finisher",Data Fundamentals,Data Wrangling,"The presentation introduces the fundamentals of data engineering by illustrating how modern businesses model their processes using data. It begins with examples from industries such as transportation, accommodation and entertainment, highlighting companies that have become global leaders despite not owning traditional physical assets. Their advantage comes from using data for dynamic pricing, routing, customer analysis, feedback evaluation and recommendation systems.
The slides contrast digitally driven companies with traditional organizations. For instance, they compare Netflix’s rapid rise to Blockbuster’s decline and describe how longstanding companies like a 180‑year‑old agricultural equipment manufacturer successfully expanded into digital services by launching data‑powered platforms. The presentation also shows how market capitalization rankings between 2011 and 2022 increasingly favor data‑driven firms such as Apple, Google, Amazon and Tencent, demonstrating the economic impact of data-centric strategies.
A data value pyramid is used to explain how raw real‑world processes become business value through digitization, processing, analysis and insight generation. The module emphasizes that effective data-driven decision-making requires clear goals, well-defined metrics and iterative feedback loops. Quotes from industry leaders reinforce the importance of fact-based decisions and structured analytical thinking.
Overall, the presentation underscores that data engineering enables the transformation of business processes into digital systems that generate insights, guide actions and deliver measurable value.The data fundamentals module is crucial for newcomers and people not familiar with data, analytics or AI",6,"[""4 learners, rating 5.0, Lucky Sinighan says ""This training so far from the topic (Data Fundamentals) was enticing, and throughout interactive, clear and engaging"", another user says ""Superb and well put together. I am enjoying every bit of the theories. Can't wait to get to the hands-on practical classes.""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Data Exploration,"The presentation introduces the concept of data exploration and explains why understanding data is an essential first step in any data‑driven project. It begins by outlining potential data sources, emphasizing that acquiring and preparing data is often the most time‑consuming and costly phase of a data science initiative. Data may come from internal systems, public archives, open‑source platforms such as Kaggle, or general internet sources.
A central theme is the importance of “knowing your data” before modeling. This includes checking data cleanliness, identifying missing or incorrect values, understanding variable distributions and spotting outliers. Examples such as skewed datasets, extreme rainfall measurements and historical temperature gaps illustrate how common irregularities can mislead analysis if not properly addressed.
The presentation highlights that different variables often exist on incompatible scales, making models harder to train. To address this, it introduces key preprocessing techniques including Min‑Max normalization and Gaussian (standard) normalization, explaining how each brings data onto a comparable scale. Additional preprocessing concepts include one‑hot encoding for categorical variables and the idea of dimensionality reduction, such as PCA.
The module concludes by reinforcing that data collection, cleaning, preprocessing and exploration typically consume more than 80% of the time and budget in data science projects, making these foundational steps critical for success. data modeller learning path is good for people that work with a lot of data, excel and want to start simplifying the work",30,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Structuring Data,"The presentation introduces foundational concepts for structuring data, focusing on how real‑world information is transformed into logical, connected models. It begins by explaining the Entity‑Relationship (ER) model, a widely used conceptual framework for representing entities, their attributes and the relationships between them. ER models help organizations understand what data should be stored and how different objects in a business domain connect. Key components include entities, relationships, attributes and cardinalities, which quantify how many instances of one entity can be associated with another.data modeller learning path is good for people that work with a lot of data, excel and want to start simplifying the work
Examples illustrate cardinality types such as 1:1, 1:N and N:M, showing how real business scenarios—like employees with emergency contacts or customers placing multiple orders—translate into structured diagrams. An example ER diagram demonstrates how customers, orders, products and employees relate within a typical business process.
The module then explains how ER models translate into relational data models. In relational systems, entities become tables, attributes become columns and relationships are implemented using primary and foreign keys. Different rules apply depending on the relationship type: 1:1 relationships may merge into a single table, 1:N relationships link tables via foreign keys and N:M relationships require an auxiliary mapping table.
The presentation concludes with database fundamentals, including the history of relational databases, advantages of structured storage and the CAP theorem, which outlines trade‑offs between consistency, availability and partition tolerance in distributed systems.",14,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),SQL,"This presentation introduces Structured Query Language (SQL), describing it as a concise, industry‑standard language supported by virtually all relational databases. It explains SQL’s core purpose: to retrieve, update and transform data, with a brief note that many platforms add their own SQL dialects. The deck outlines basic command structure, focusing on staples like SELECT (choosing columns), FROM (specifying tables), and the broader idea of composing clear, minimal queries to precisely answer business questions. The emphasis is on SQL’s universality: learning standard SQL enables interaction with almost any relational system, making it a foundational skill for analysts, engineers and data scientists. While SQL can perform simple analyses, the main value is enabling consistent data access, filtering, aggregation and preparation that downstream tools and models depend upon. Overall, the material positions SQL as the “lingua franca” of data, essential for operational reporting, ad‑hoc exploration and building robust data pipelines, and highlights that mastering a small set of commands provides outsized practical capability across enterprise environments.data modeller learning path is good for people that work with a lot of data, excel and want to start simplifying the work",13,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Data Warehouses,"This presentation introduces Business Intelligence (BI) and data architectures, explaining how organizations transform data into insights for decision‑making. BI is defined as a collection of processes and tools that convert raw business information into meaningful, actionable insights through reporting, visualization and analytics. Its purpose is to provide users with historical, current and predictive views of operations, effectively functioning as a decision‑support system.
The module then shifts to data architecture, described as the policies, rules and models governing how data is collected, stored, arranged, processed and integrated across the company. A clear data architecture mirrors real business processes and ensures a consistent data flow. The slides highlight two main conceptual architectures:

Data Warehouses, typically used for structured, historical, analytics‑ready data.
Data Lakes, which store large volumes of raw or semi‑structured data.

Additionally, the module explains the difference between on‑premise and cloud‑based implementations, noting that cloud platforms increasingly support scalable, flexible data environments.
Overall, the presentation reinforces the idea that BI and data architecture form the foundation of analytics‑driven organizations. Clear architectural design ensures reliable data access, while BI tools convert that data into insights that guide strategic and operational decisions.data modeller learning path is good for people that work with a lot of data, excel and want to start simplifying the work",9,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Data Lakes,"This presentation introduces Big Data and the concept of Data Lakes, focusing on how data characteristics influence storage, processing and analytics strategies. Big Data is defined as data that exceeds the capacity of traditional technologies to efficiently store, manage or analyze it. Its defining attributes are summarized through the widely used “3 V’s”:

Volume — data exists in extremely large quantities.
Variety — data increasingly includes unstructured formats such as texts, images, videos and social media content.
Velocity — data often needs to be processed in real time, as delayed insights may lose value.

The deck notes that Big Data is a dynamic, evolving concept, with additional “V’s” (such as veracity, variability and value) sometimes included, though the first three represent the core framework. As businesses generate and consume more data, traditional warehouse architectures become insufficient for certain analytical needs.
To address this, the module introduces Data Lakes, large‑scale storage systems capable of holding raw, semi‑structured and unstructured data at scale. Unlike data warehouses, lakes store information in its native form until needed, enabling flexible exploration and advanced analytics such as machine learning.
Overall, the presentation stresses that the rise of Big Data requires modern architectures that support high‑volume, high‑speed and high‑variety data environments, enabling organizations to unlock broader insights and innovative use cases.data modeller learning path is good for people that work with a lot of data, excel and want to start simplifying the workdata modeller learning path is good for people that work with a lot of data, excel and want to start simplifying the work",8,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
"Data Modeller, Full Path Finisher",Data Science Basics (Data Preparation),Classroom - SQL,"This hands-on trainer-led session is designed to showcase SQL language and teach participants to code using SQL themselves on Databricks. We cover select, distinct, groupby, join and all other main staples of sql . All non-classsroom sub_modules of data science basics are a prerequite for users to be eligible for the classroom",240,"[""1 learners, rating 5.0, Vasil Prisadashki says ""Once you start, it is impossible to stop before reaching the end. Appetite grows with every bite""]"
